Genotype,Location,Year,Rep,Adjusted Yield
SB163,MPIKA,2021,1,1410.416667
SB163,MPIKA,2021,2,1373.333333
SB163,MPIKA,2021,3,661.25
SB164,MPIKA,2021,1,1258.958333
SB164,MPIKA,2021,2,988.75
SB164,MPIKA,2021,3,420.4166667
SB165,MPIKA,2021,1,1181.041667
SB165,MPIKA,2021,2,756.4583333
SB165,MPIKA,2021,3,733.3333333
SB166,MPIKA,2021,1,885.8333333
SB166,MPIKA,2021,2,540
SB166,MPIKA,2021,3,921.4583333
SB167,MPIKA,2021,1,1150.625
SB167,MPIKA,2021,2,1038.125
SB167,MPIKA,2021,3,930.2083333
SB168,MPIKA,2021,1,1225.208333
SB168,MPIKA,2021,2,1133.541667
SB168,MPIKA,2021,3,903.3333333
SB169,MPIKA,2021,1,1136.458333
SB169,MPIKA,2021,2,1202.083333
SB169,MPIKA,2021,3,1243.333333
SB171,MPIKA,2021,1,1214.375
SB171,MPIKA,2021,2,1194.583333
SB171,MPIKA,2021,3,1065.833333
SB172,MPIKA,2021,1,1202.083333
SB172,MPIKA,2021,2,1240.208333
SB172,MPIKA,2021,3,738.9583333
SB173,MPIKA,2021,1,1058.958333
SB173,MPIKA,2021,2,1321.666667
SB173,MPIKA,2021,3,858.9583333
SB174,MPIKA,2021,1,563.3333333
SB174,MPIKA,2021,2,978.3333333
SB174,MPIKA,2021,3,718.75
SB175,MPIKA,2021,1,867.9166667
SB175,MPIKA,2021,2,771.0416667
SB175,MPIKA,2021,3,819.4791667
SB176,MPIKA,2021,1,740.625
SB176,MPIKA,2021,2,1056.666667
SB176,MPIKA,2021,3,820.2083333
SB177,MPIKA,2021,1,1003.333333
SB177,MPIKA,2021,2,1451.666667
SB177,MPIKA,2021,3,704.7916667
SB178,MPIKA,2021,1,584.7916667
SB178,MPIKA,2021,2,999.5833333
SB178,MPIKA,2021,3,623.3333333
SB179,MPIKA,2021,1,1122.5
SB179,MPIKA,2021,2,1126.25
SB179,MPIKA,2021,3,684.5833333
SB180,MPIKA,2021,1,849.7916667
SB180,MPIKA,2021,2,886.0416667
SB180,MPIKA,2021,3,922.2916667
SB181,MPIKA,2021,1,744.1666667
SB181,MPIKA,2021,2,1006.875
SB181,MPIKA,2021,3,797.0833333
SB182,MPIKA,2021,1,1116.666667
SB182,MPIKA,2021,2,994.7916667
SB182,MPIKA,2021,3,1306.458333
SB183,MPIKA,2021,1,877.5
SB183,MPIKA,2021,2,841.875
SB183,MPIKA,2021,3,650.2083333
SB184,MPIKA,2021,1,1217.5
SB184,MPIKA,2021,2,632.5
SB184,MPIKA,2021,3,526.25
SB185,MPIKA,2021,1,1271.041667
SB185,MPIKA,2021,2,975
SB185,MPIKA,2021,3,533.5416667
SB186,MPIKA,2021,1,1107.083333
SB186,MPIKA,2021,2,1025
SB186,MPIKA,2021,3,1024.166667
SB187,MPIKA,2021,1,837.5
SB187,MPIKA,2021,2,1096.666667
SB187,MPIKA,2021,3,1378.541667
SB189,MPIKA,2021,1,1307.291667
SB189,MPIKA,2021,2,702.0833333
SB189,MPIKA,2021,3,484.7916667
SB190,MPIKA,2021,1,637.5
SB190,MPIKA,2021,2,656.25
SB190,MPIKA,2021,3,1020.833333
SB192,MPIKA,2021,1,796.4583333
SB192,MPIKA,2021,2,711.875
SB192,MPIKA,2021,3,523.3333333
SB195,MPIKA,2021,1,736.875
